#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	101129	100150	99.02	211	0.21	78	0.08	148	0.15	542	0.54
Mouse	101129	100117	98.99	141	0.14	47	0.05	221	0.22	603	0.60
Rat	101129	100077	98.96	169	0.17	62	0.06	194	0.19	627	0.62
Drosophila	101129	100770	99.64	90	0.09	10	0.01	79	0.08	180	0.18
Worm	101129	101013	99.89	6	0.01	0	0.00	35	0.03	75	0.07
Yeast	101129	101034	99.91	2	0.00	1	0.00	11	0.01	81	0.08
Arabidopsis	101129	100977	99.85	14	0.01	6	0.01	21	0.02	111	0.11
Ecoli	101129	101129	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	101129	101008	99.88	0	0.00	0	0.00	18	0.02	103	0.10
MT	101129	101100	99.98	13	0.01	0	0.00	2	0.00	14	0.01
PhiX	101129	101129	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	101129	101129	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	101129	101112	99.99	0	0.00	0	0.00	13	0.01	4	0.00
Adapters	101129	101106	99.99	2	0.00	5	0.00	1	0.00	15	0.01

%Hit_no_genomes: 98.23
