#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100036	99184	99.15	135	0.13	44	0.04	106	0.11	567	0.57
Mouse	100036	99198	99.16	97	0.10	29	0.03	103	0.10	609	0.61
Rat	100036	99149	99.12	95	0.09	42	0.04	73	0.07	677	0.68
Drosophila	100036	99612	99.58	50	0.05	13	0.01	53	0.05	308	0.31
Worm	100036	99798	99.76	4	0.00	0	0.00	46	0.05	188	0.19
Yeast	100036	99825	99.80	4	0.00	1	0.00	12	0.01	194	0.19
Arabidopsis	100036	99774	99.74	8	0.01	2	0.00	27	0.03	225	0.22
Ecoli	100036	100036	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100036	99922	99.88	0	0.00	0	0.00	7	0.01	107	0.11
MT	100036	100009	99.98	18	0.02	0	0.00	4	0.00	5	0.00
PhiX	100036	100036	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100036	100036	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100036	100035	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Adapters	100036	100035	100.00	0	0.00	0	0.00	0	0.00	1	0.00

%Hit_no_genomes: 98.65
