#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100926	100205	99.28	120	0.12	46	0.05	95	0.09	460	0.46
Mouse	100926	100207	99.29	85	0.08	29	0.03	95	0.09	510	0.51
Rat	100926	100174	99.25	80	0.08	39	0.04	81	0.08	552	0.55
Drosophila	100926	100610	99.69	44	0.04	8	0.01	51	0.05	213	0.21
Worm	100926	100759	99.84	3	0.00	0	0.00	39	0.04	125	0.12
Yeast	100926	100761	99.84	1	0.00	0	0.00	9	0.01	155	0.15
Arabidopsis	100926	100711	99.79	11	0.01	2	0.00	25	0.02	177	0.18
Ecoli	100926	100926	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100926	100821	99.89	0	0.00	0	0.00	9	0.01	96	0.10
MT	100926	100916	99.99	6	0.01	0	0.00	3	0.00	1	0.00
PhiX	100926	100926	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100926	100926	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100926	100912	99.99	0	0.00	0	0.00	13	0.01	1	0.00
Adapters	100926	100912	99.99	1	0.00	0	0.00	0	0.00	13	0.01

%Hit_no_genomes: 98.85
