#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100026	99009	98.99	239	0.24	75	0.07	165	0.16	538	0.54
Mouse	100026	98991	98.96	117	0.12	59	0.06	211	0.21	648	0.65
Rat	100026	98972	98.95	159	0.16	61	0.06	172	0.17	662	0.66
Drosophila	100026	99618	99.60	109	0.11	12	0.01	85	0.08	202	0.20
Worm	100026	99876	99.85	7	0.01	3	0.00	39	0.04	101	0.10
Yeast	100026	99945	99.92	1	0.00	0	0.00	7	0.01	73	0.07
Arabidopsis	100026	99851	99.83	22	0.02	2	0.00	30	0.03	121	0.12
Ecoli	100026	100026	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100026	99944	99.92	0	0.00	0	0.00	11	0.01	71	0.07
MT	100026	100007	99.99	14	0.01	0	0.00	4	0.00	1	0.00
PhiX	100026	100026	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100026	100026	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100026	100023	100.00	0	0.00	0	0.00	2	0.00	1	0.00
Adapters	100026	100024	100.00	0	0.00	0	0.00	0	0.00	2	0.00

%Hit_no_genomes: 98.17
