#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99935	98993	99.05	221	0.22	75	0.08	137	0.14	509	0.51
Mouse	99935	99031	99.09	112	0.11	39	0.04	165	0.17	588	0.59
Rat	99935	98950	99.01	161	0.16	66	0.07	140	0.14	618	0.62
Drosophila	99935	99597	99.65	75	0.08	7	0.01	81	0.08	175	0.18
Worm	99935	99799	99.86	5	0.01	0	0.00	37	0.04	94	0.09
Yeast	99935	99829	99.90	1	0.00	1	0.00	11	0.01	93	0.09
Arabidopsis	99935	99784	99.85	10	0.01	5	0.01	22	0.02	114	0.11
Ecoli	99935	99935	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	99935	99842	99.90	0	0.00	0	0.00	16	0.02	77	0.08
MT	99935	99893	99.96	22	0.02	0	0.00	12	0.01	8	0.01
PhiX	99935	99935	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	99935	99935	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99935	99928	99.99	0	0.00	0	0.00	6	0.01	1	0.00
Adapters	99935	99928	99.99	0	0.00	1	0.00	0	0.00	6	0.01

%Hit_no_genomes: 98.34
