#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	101621	100694	99.09	221	0.22	90	0.09	154	0.15	462	0.45
Mouse	101621	100744	99.14	116	0.11	49	0.05	171	0.17	541	0.53
Rat	101621	100725	99.12	152	0.15	46	0.05	147	0.14	551	0.54
Drosophila	101621	101283	99.67	73	0.07	10	0.01	68	0.07	187	0.18
Worm	101621	101471	99.85	9	0.01	5	0.00	28	0.03	108	0.11
Yeast	101621	101516	99.90	0	0.00	0	0.00	15	0.01	90	0.09
Arabidopsis	101621	101429	99.82	13	0.01	4	0.00	28	0.03	147	0.14
Ecoli	101621	101621	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	101621	101528	99.91	0	0.00	0	0.00	11	0.01	82	0.08
MT	101621	101588	99.97	21	0.02	1	0.00	7	0.01	4	0.00
PhiX	101621	101621	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	101621	101621	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	101621	101618	100.00	0	0.00	0	0.00	3	0.00	0	0.00
Adapters	101621	101618	100.00	0	0.00	0	0.00	0	0.00	3	0.00

%Hit_no_genomes: 98.41
