#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100808	99306	98.52	225	0.22	85	0.08	183	0.18	1009	1.00
Mouse	100808	99301	98.52	146	0.14	44	0.04	225	0.22	1092	1.08
Rat	100808	99239	98.44	171	0.17	68	0.07	193	0.19	1137	1.13
Drosophila	100808	100184	99.38	83	0.08	21	0.02	131	0.13	389	0.39
Worm	100808	100502	99.70	6	0.01	1	0.00	95	0.09	204	0.20
Yeast	100808	100592	99.78	0	0.00	1	0.00	16	0.02	199	0.20
Arabidopsis	100808	100480	99.69	15	0.01	3	0.00	45	0.04	265	0.26
Ecoli	100808	100808	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100808	100518	99.71	0	0.00	0	0.00	28	0.03	262	0.26
MT	100808	100782	99.97	16	0.02	0	0.00	3	0.00	7	0.01
PhiX	100808	100808	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100808	100808	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100808	100781	99.97	2	0.00	0	0.00	19	0.02	6	0.01
Adapters	100808	100777	99.97	6	0.01	1	0.00	2	0.00	22	0.02

%Hit_no_genomes: 97.65
