#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	101094	99622	98.54	158	0.16	57	0.06	102	0.10	1155	1.14
Mouse	101094	99590	98.51	138	0.14	42	0.04	143	0.14	1181	1.17
Rat	101094	99576	98.49	88	0.09	53	0.05	88	0.09	1289	1.28
Drosophila	101094	100300	99.21	47	0.05	12	0.01	81	0.08	654	0.65
Worm	101094	100617	99.53	2	0.00	0	0.00	121	0.12	354	0.35
Yeast	101094	100638	99.54	0	0.00	0	0.00	16	0.02	440	0.44
Arabidopsis	101094	100518	99.44	17	0.02	5	0.00	55	0.05	499	0.49
Ecoli	101094	101093	100.00	0	0.00	1	0.00	0	0.00	0	0.00
rRNA	101094	100775	99.68	0	0.00	0	0.00	26	0.03	293	0.29
MT	101094	101070	99.98	19	0.02	0	0.00	2	0.00	3	0.00
PhiX	101094	101094	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	101094	101094	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	101094	101069	99.98	1	0.00	0	0.00	24	0.02	0	0.00
Adapters	101094	101068	99.98	0	0.00	2	0.00	0	0.00	24	0.02

%Hit_no_genomes: 97.91
