#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	98348	97106	98.74	195	0.20	72	0.07	144	0.15	831	0.84
Mouse	98348	97120	98.75	104	0.11	42	0.04	200	0.20	882	0.90
Rat	98348	97063	98.70	160	0.16	44	0.04	150	0.15	931	0.95
Drosophila	98348	97850	99.50	73	0.07	11	0.01	103	0.10	311	0.32
Worm	98348	98117	99.78	3	0.00	4	0.00	72	0.07	152	0.15
Yeast	98348	98173	99.82	0	0.00	0	0.00	10	0.01	165	0.17
Arabidopsis	98348	98076	99.73	14	0.01	2	0.00	35	0.04	221	0.22
Ecoli	98348	98348	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	98348	98034	99.68	0	0.00	0	0.00	45	0.05	269	0.27
MT	98348	98315	99.97	13	0.01	1	0.00	10	0.01	9	0.01
PhiX	98348	98348	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	98348	98348	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	98348	98295	99.94	0	0.00	0	0.00	48	0.05	5	0.01
Adapters	98348	98295	99.95	0	0.00	0	0.00	0	0.00	53	0.05

%Hit_no_genomes: 97.97
