#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	98348	97118	98.75	195	0.20	72	0.07	157	0.16	806	0.82
Mouse	98348	97131	98.77	111	0.11	41	0.04	221	0.22	844	0.86
Rat	98348	97085	98.72	128	0.13	58	0.06	161	0.16	916	0.93
Drosophila	98348	97871	99.52	73	0.07	10	0.01	90	0.09	304	0.31
Worm	98348	98110	99.76	3	0.00	2	0.00	76	0.08	157	0.16
Yeast	98348	98165	99.81	1	0.00	0	0.00	7	0.01	175	0.18
Arabidopsis	98348	98084	99.73	12	0.01	5	0.01	30	0.03	217	0.22
Ecoli	98348	98348	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	98348	98030	99.67	0	0.00	0	0.00	46	0.05	272	0.28
MT	98348	98317	99.96	16	0.02	1	0.00	5	0.01	9	0.01
PhiX	98348	98348	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	98348	98348	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	98348	98309	99.96	0	0.00	0	0.00	34	0.03	5	0.01
Adapters	98348	98295	99.94	9	0.01	5	0.01	2	0.00	37	0.04

%Hit_no_genomes: 98.00
