#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	101974	100410	98.47	228	0.22	89	0.09	188	0.18	1059	1.04
Mouse	101974	100396	98.46	157	0.15	53	0.05	258	0.25	1110	1.09
Rat	101974	100401	98.46	160	0.16	50	0.05	198	0.19	1165	1.14
Drosophila	101974	101335	99.38	90	0.09	15	0.01	127	0.12	407	0.40
Worm	101974	101660	99.69	11	0.01	2	0.00	101	0.10	200	0.20
Yeast	101974	101752	99.78	1	0.00	2	0.00	9	0.01	210	0.21
Arabidopsis	101974	101626	99.65	16	0.02	3	0.00	37	0.04	292	0.29
Ecoli	101974	101974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	101974	101546	99.58	0	0.00	0	0.00	47	0.05	381	0.37
MT	101974	101947	99.98	12	0.01	0	0.00	5	0.00	10	0.01
PhiX	101974	101974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	101974	101974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	101974	101934	99.96	0	0.00	0	0.00	38	0.04	2	0.00
Adapters	101974	101934	99.96	1	0.00	1	0.00	1	0.00	37	0.04

%Hit_no_genomes: 97.61
