#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100808	99300	98.50	218	0.22	94	0.09	211	0.21	985	0.98
Mouse	100808	99318	98.52	145	0.14	50	0.05	259	0.26	1036	1.03
Rat	100808	99307	98.51	159	0.16	64	0.06	201	0.20	1077	1.07
Drosophila	100808	100195	99.40	94	0.09	15	0.01	125	0.12	379	0.38
Worm	100808	100477	99.68	4	0.00	1	0.00	101	0.10	225	0.22
Yeast	100808	100603	99.80	0	0.00	0	0.00	14	0.01	191	0.19
Arabidopsis	100808	100478	99.67	18	0.02	3	0.00	38	0.04	271	0.27
Ecoli	100808	100808	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100808	100504	99.70	0	0.00	0	0.00	31	0.03	273	0.27
MT	100808	100776	99.97	14	0.01	0	0.00	12	0.01	6	0.01
PhiX	100808	100808	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100808	100808	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100808	100774	99.97	0	0.00	0	0.00	33	0.03	1	0.00
Adapters	100808	100774	99.97	0	0.00	1	0.00	0	0.00	33	0.03

%Hit_no_genomes: 97.68
