#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	101458	99888	98.45	214	0.21	87	0.09	177	0.17	1092	1.08
Mouse	101458	99865	98.43	149	0.15	74	0.07	228	0.22	1142	1.13
Rat	101458	99847	98.41	143	0.14	97	0.10	150	0.15	1221	1.20
Drosophila	101458	100853	99.40	90	0.09	6	0.01	102	0.10	407	0.40
Worm	101458	101144	99.69	4	0.00	1	0.00	78	0.08	231	0.23
Yeast	101458	101217	99.76	1	0.00	1	0.00	8	0.01	231	0.23
Arabidopsis	101458	101077	99.62	19	0.02	3	0.00	49	0.05	310	0.31
Ecoli	101458	101457	100.00	1	0.00	0	0.00	0	0.00	0	0.00
rRNA	101458	101024	99.57	0	0.00	0	0.00	53	0.05	381	0.38
MT	101458	101426	99.98	24	0.02	0	0.00	3	0.00	5	0.00
PhiX	101458	101458	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	101458	101458	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	101458	101419	99.96	0	0.00	0	0.00	36	0.04	3	0.00
Adapters	101458	101420	99.96	0	0.00	0	0.00	0	0.00	38	0.04

%Hit_no_genomes: 97.60
