#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	101974	100379	98.43	248	0.24	97	0.10	203	0.20	1047	1.03
Mouse	101974	100439	98.50	135	0.13	56	0.05	245	0.24	1099	1.08
Rat	101974	100386	98.44	155	0.15	67	0.07	214	0.21	1152	1.13
Drosophila	101974	101386	99.42	79	0.08	15	0.01	119	0.12	375	0.37
Worm	101974	101691	99.72	7	0.01	0	0.00	98	0.10	178	0.17
Yeast	101974	101763	99.79	0	0.00	0	0.00	12	0.01	199	0.20
Arabidopsis	101974	101622	99.65	16	0.02	8	0.01	45	0.04	283	0.28
Ecoli	101974	101973	100.00	0	0.00	1	0.00	0	0.00	0	0.00
rRNA	101974	101556	99.59	0	0.00	0	0.00	47	0.05	371	0.36
MT	101974	101946	99.98	13	0.01	0	0.00	5	0.00	10	0.01
PhiX	101974	101974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	101974	101974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	101974	101944	99.97	0	0.00	0	0.00	19	0.02	11	0.01
Adapters	101974	101937	99.96	6	0.01	2	0.00	0	0.00	29	0.03

%Hit_no_genomes: 97.61
