#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100737	99228	98.51	232	0.23	63	0.06	182	0.18	1032	1.02
Mouse	100737	99276	98.55	122	0.12	50	0.05	242	0.24	1047	1.04
Rat	100737	99202	98.47	158	0.16	67	0.07	199	0.20	1111	1.10
Drosophila	100737	100131	99.40	81	0.08	21	0.02	113	0.11	391	0.39
Worm	100737	100435	99.70	5	0.00	1	0.00	108	0.11	188	0.19
Yeast	100737	100505	99.77	0	0.00	0	0.00	12	0.01	220	0.22
Arabidopsis	100737	100383	99.66	15	0.01	3	0.00	44	0.04	292	0.29
Ecoli	100737	100737	100.00	0	0.00	0	0.00	0	0.00	0	0.00
rRNA	100737	100355	99.62	0	0.00	0	0.00	47	0.05	335	0.33
MT	100737	100697	99.96	15	0.01	0	0.00	8	0.01	17	0.02
PhiX	100737	100737	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Lambda	100737	100737	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100737	100702	99.97	0	0.00	0	0.00	33	0.03	2	0.00
Adapters	100737	100702	99.97	1	0.00	0	0.00	0	0.00	34	0.03

%Hit_no_genomes: 97.70
