#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN16451_c1_g1_i1:816-1304  -            163 81379at7898          -            261   6.7e-26   90.0   0.2   1   1   6.9e-28   7.8e-26   89.8   0.2   181   244    98   163    66   163 0.89 -
TRINITY_DN35166_c0_g3_i1:649-1038  -            130 81379at7898          -            261   8.8e-26   89.6   0.3   1   1   7.8e-28   8.9e-26   89.6   0.3   168   244    50   129    11   130 0.79 -
TRINITY_DN35166_c0_g3_i2:687-1076  -            130 81379at7898          -            261   8.8e-26   89.6   0.3   1   1   7.8e-28   8.9e-26   89.6   0.3   168   244    50   129    11   130 0.79 -
TRINITY_DN4001_c1_g2_i1:847-2112   -            422 81379at7898          -            261     8e-23   79.9   0.6   1   1   1.1e-24   1.3e-22   79.2   0.6   150   246   139   232   124   237 0.85 -
TRINITY_DN4001_c1_g2_i4:1222-2487  -            422 81379at7898          -            261     8e-23   79.9   0.6   1   1   1.1e-24   1.3e-22   79.2   0.6   150   246   139   232   124   237 0.85 -
TRINITY_DN4001_c1_g2_i5:847-2112   -            422 81379at7898          -            261     8e-23   79.9   0.6   1   1   1.1e-24   1.3e-22   79.2   0.6   150   246   139   232   124   237 0.85 -
TRINITY_DN60772_c0_g1_i1:311-472   -             54 81379at7898          -            261   1.4e-22   79.1   4.1   1   1   1.3e-24   1.5e-22   79.0   4.1   189   241     2    54     1    54 0.97 -
TRINITY_DN4001_c1_g2_i6:90-884     -            265 81379at7898          -            261   1.5e-21   75.7   0.5   1   1   2.1e-23   2.4e-21   75.1   0.5   187   246    17    76    12    81 0.93 -
TRINITY_DN35166_c0_g1_i1:259-768   -            170 81379at7898          -            261     8e-21   73.3   3.3   1   1   9.7e-23   1.1e-20   72.9   3.3   188   245   109   166   102   170 0.94 -
TRINITY_DN35166_c0_g2_i3:699-860   -             54 81379at7898          -            261   9.5e-21   73.1   4.6   1   1   8.9e-23     1e-20   73.0   4.6   189   241     2    54     1    54 0.97 -
TRINITY_DN4001_c0_g1_i3:829-990    -             54 81379at7898          -            261   1.9e-20   72.1   2.6   1   1   1.8e-22     2e-20   72.0   2.6   188   241     1    54     1    54 0.98 -
TRINITY_DN36495_c0_g1_i1:132-554   -            141 81379at7898          -            261   3.9e-20   71.1   1.5   1   1   4.3e-22   4.8e-20   70.8   1.5   185   244    82   141    63   141 0.95 -
TRINITY_DN35166_c0_g2_i1:295-747   -            151 81379at7898          -            261   8.6e-20   70.0   5.4   1   1   1.1e-21   1.3e-19   69.4   5.1   188   249    86   147    78   149 0.93 -
TRINITY_DN11792_c0_g1_i2:136-723   -            196 81379at7898          -            261     1e-18   66.4   2.7   1   1   1.3e-20   1.5e-18   65.9   2.7   187   248   129   190   111   194 0.92 -
TRINITY_DN11792_c0_g1_i3:136-723   -            196 81379at7898          -            261     1e-18   66.4   2.7   1   1   1.3e-20   1.5e-18   65.9   2.7   187   248   129   190   111   194 0.92 -
TRINITY_DN70482_c0_g1_i1:61-222    -             54 81379at7898          -            261   1.5e-18   65.9   1.9   1   1   1.4e-20   1.5e-18   65.8   1.9   189   241     2    54     1    54 0.97 -
TRINITY_DN36758_c1_g2_i1:18-416    -            133 81379at7898          -            261   3.3e-18   64.7   0.8   1   1   3.8e-20   4.3e-18   64.4   0.8   187   246    27    86    18    97 0.91 -
TRINITY_DN33600_c0_g1_i1:84-236    -             51 81379at7898          -            261   9.5e-18   63.3   0.8   1   1   8.8e-20     1e-17   63.2   0.8   191   241     1    51     1    51 0.97 -
TRINITY_DN36758_c1_g1_i1:451-1038  -            196 81379at7898          -            261   4.8e-17   61.0   1.7   1   1   6.6e-19   7.4e-17   60.3   1.7   185   246   111   171    92   179 0.88 -
TRINITY_DN8992_c0_g1_i1:275-874    -            200 81379at7898          -            261   1.6e-16   59.2   0.4   1   1   1.7e-18     2e-16   58.9   0.4   184   246    95   157    59   167 0.94 -
TRINITY_DN11792_c0_g2_i1:185-703   -            173 81379at7898          -            261   1.9e-16   59.0   0.7   1   1     2e-18   2.3e-16   58.7   0.7   185   244   113   172    82   173 0.87 -
TRINITY_DN59439_c0_g1_i1:89-259    -             57 81379at7898          -            261   1.4e-13   49.6   1.0   1   1   1.3e-15   1.5e-13   49.5   1.0   185   241     1    57     1    57 0.97 -
TRINITY_DN13458_c0_g1_i1:722-1156  -            145 81379at7898          -            261   2.7e-13   48.7   0.1   1   1   2.9e-15   3.3e-13   48.4   0.1   153   248    49   138     7   142 0.82 -
TRINITY_DN13458_c0_g1_i2:721-1155  -            145 81379at7898          -            261   2.7e-13   48.7   0.1   1   1   2.9e-15   3.3e-13   48.4   0.1   153   248    49   138     7   142 0.82 -
TRINITY_DN6999_c0_g1_i1:450-980    -            177 81379at7898          -            261   4.8e-13   47.8   1.8   1   1   4.2e-15   4.8e-13   47.8   1.8   188   244   118   174    70   177 0.89 -
TRINITY_DN11119_c0_g1_i1:742-1194  -            151 81379at7898          -            261     2e-12   45.8   1.6   1   1   2.4e-14   2.7e-12   45.4   1.6   192   249    75   132    64   139 0.92 -
TRINITY_DN11119_c0_g1_i2:85-537    -            151 81379at7898          -            261     2e-12   45.8   1.6   1   1   2.4e-14   2.7e-12   45.4   1.6   192   249    75   132    64   139 0.92 -
TRINITY_DN69600_c0_g1_i1:3-155     -             51 81379at7898          -            261     2e-12   45.8   0.6   1   1   1.9e-14   2.1e-12   45.7   0.6   191   241     1    51     1    51 0.97 -
TRINITY_DN67922_c0_g1_i1:1045-1599 -            185 81379at7898          -            261     2e-11   42.5   0.1   1   2       0.8        90    1.1   0.0    43    86    58   101    36   109 0.77 -
TRINITY_DN67922_c0_g1_i1:1045-1599 -            185 81379at7898          -            261     2e-11   42.5   0.1   2   2   1.3e-12   1.5e-10   39.7   0.1   171   241   111   185   103   185 0.83 -
TRINITY_DN6999_c0_g2_i1:454-879    -            142 81379at7898          -            261   2.5e-11   42.2   1.2   1   1   2.5e-13   2.8e-11   42.0   1.1   180   243    78   141    38   142 0.83 -
