#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN3804_c1_g1_i1:72-1763  -            564 44354at7898          -            488  1.1e-192  639.7   5.3   1   1  2.1e-195  1.9e-192  638.9   5.3     4   488    18   554    15   554 0.91 -
TRINITY_DN4817_c0_g3_i1:103-1749 -            549 44354at7898          -            488  2.9e-192  638.3   3.4   1   1  4.8e-195  4.2e-192  637.8   3.4     9   488     9   540     4   540 0.92 -
TRINITY_DN4817_c0_g3_i2:103-1829 -            549 44354at7898          -            488  2.9e-192  638.3   3.4   1   1  4.8e-195  4.2e-192  637.8   3.4     9   488     9   540     4   540 0.92 -
TRINITY_DN445_c1_g1_i1:90-1190   -            367 44354at7898          -            488  1.1e-180  600.1   7.2   1   1  2.1e-183  1.9e-180  599.4   7.2   173   488     1   361     1   361 0.93 -
TRINITY_DN1466_c0_g1_i4:401-1567 -            389 44354at7898          -            488   6.6e-22   76.5   0.0   1   1   1.2e-23   1.1e-20   72.5   0.0   231   415    20   220     4   224 0.76 -
TRINITY_DN1466_c0_g1_i3:532-1698 -            389 44354at7898          -            488   4.4e-21   73.7   0.0   1   1   3.8e-23   3.3e-20   70.8   0.0   231   416    20   221     4   274 0.74 -
TRINITY_DN1466_c0_g1_i6:532-1698 -            389 44354at7898          -            488   4.5e-21   73.7   0.0   1   1   3.8e-23   3.3e-20   70.8   0.0   231   416    20   221     4   274 0.74 -
TRINITY_DN1020_c0_g1_i2:350-1510 -            387 44354at7898          -            488   4.6e-19   67.1   0.0   1   1   7.5e-22   6.6e-19   66.6   0.0    29   226    20   226     7   238 0.81 -
TRINITY_DN809_c0_g1_i9:2-760     -            253 44354at7898          -            488    0.0022   15.4   0.0   1   1   3.6e-06    0.0032   14.8   0.0   329   417   104   189    93   197 0.80 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/44354at7898.hmm
# Target file:     /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/rerun_results/trinity.Trinity.fasta.modified.fas
# Option settings: hmmsearch --domtblout /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/hmmer_output/rerun_results/44354at7898.out --cpu 1 /home/ericjuo/Projects/salmo_trutta_rna_seq/busco_downloads/lineages/actinopterygii_odb10/hmms/44354at7898.hmm /home/ericjuo/Projects/salmo_trutta_rna_seq/data/02_intermediate/busco/run_actinopterygii_odb10/metaeuk_output/rerun_results/trinity.Trinity.fasta.modified.fas 
# Current dir:     /home/ericjuo/Projects/salmo_trutta_rna_seq
# Date:            Fri Apr 29 13:04:09 2022
# [ok]
