#                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
TRINITY_DN24771_c0_g1_i1:286-876   -            197 14956at7898          -            818   4.8e-06   24.7   1.6   1   3      0.16        64    1.1   1.1   234   256    27    49    10    67 0.71 -
TRINITY_DN24771_c0_g1_i1:286-876   -            197 14956at7898          -            818   4.8e-06   24.7   1.6   2   3     0.082        33    2.1   5.5   728   798    28   101    25   109 0.62 -
TRINITY_DN24771_c0_g1_i1:286-876   -            197 14956at7898          -            818   4.8e-06   24.7   1.6   3   3   1.2e-08   4.8e-06   24.7   1.6   167   253   101   186    95   195 0.84 -
TRINITY_DN22820_c0_g2_i1:2233-3015 -            261 14956at7898          -            818   0.00015   19.7  12.7   1   3   1.5e-06   0.00063   17.7   2.7   169   252     8    90     5    99 0.84 -
TRINITY_DN22820_c0_g2_i1:2233-3015 -            261 14956at7898          -            818   0.00015   19.7  12.7   2   3    0.0014      0.55    8.0   0.9   726   806   127   210   106   213 0.71 -
TRINITY_DN22820_c0_g2_i1:2233-3015 -            261 14956at7898          -            818   0.00015   19.7  12.7   3   3      0.25     1e+02    0.5   0.1   775   804   207   236   203   241 0.86 -
TRINITY_DN22820_c0_g2_i2:986-1768  -            261 14956at7898          -            818   0.00015   19.7  12.7   1   3   1.5e-06   0.00063   17.7   2.7   169   252     8    90     5    99 0.84 -
TRINITY_DN22820_c0_g2_i2:986-1768  -            261 14956at7898          -            818   0.00015   19.7  12.7   2   3    0.0014      0.55    8.0   0.9   726   806   127   210   106   213 0.71 -
TRINITY_DN22820_c0_g2_i2:986-1768  -            261 14956at7898          -            818   0.00015   19.7  12.7   3   3      0.25     1e+02    0.5   0.1   775   804   207   236   203   241 0.86 -
TRINITY_DN22820_c0_g2_i4:2272-3054 -            261 14956at7898          -            818   0.00015   19.7  12.7   1   3   1.5e-06   0.00063   17.7   2.7   169   252     8    90     5    99 0.84 -
TRINITY_DN22820_c0_g2_i4:2272-3054 -            261 14956at7898          -            818   0.00015   19.7  12.7   2   3    0.0014      0.55    8.0   0.9   726   806   127   210   106   213 0.71 -
TRINITY_DN22820_c0_g2_i4:2272-3054 -            261 14956at7898          -            818   0.00015   19.7  12.7   3   3      0.25     1e+02    0.5   0.1   775   804   207   236   203   241 0.86 -
TRINITY_DN10730_c1_g2_i4:0-473     -            158 14956at7898          -            818   0.00026   19.0   2.3   1   2       0.2        82    0.8   0.1   229   251    19    41     4    53 0.73 -
TRINITY_DN10730_c1_g2_i4:0-473     -            158 14956at7898          -            818   0.00026   19.0   2.3   2   2   6.4e-07   0.00026   19.0   2.3   160   253    63   155    57   158 0.82 -
